ParName   Value   Gradient
natmort_m      0.13657 -1.44185e-05
q_alpha(1)     0.103493  2.84181e-06
q_beta[1](1)    0.0686175  3.09038e-06
q_beta[1](2)   0.00589883 -1.49413e-05
q_beta[1](3)   -0.0026649 -2.22857e-05
mean_log_rec     0.937709  9.60759e-06
rec_dev(1954)     0.191284  1.16446e-05
rec_dev(1955)    -0.125037   7.6737e-06
rec_dev(1956)    -0.468428   7.5572e-06
rec_dev(1957)      0.41508  3.65148e-05
rec_dev(1958)    0.0460101  2.41111e-05
rec_dev(1959)    -0.224835  1.38403e-05
rec_dev(1960)    -0.247482  7.03101e-06
rec_dev(1961)     -0.63923 -1.44017e-06
rec_dev(1962)    -0.140513  9.40267e-07
rec_dev(1963)    -0.674627 -4.64411e-06
rec_dev(1964)    -0.717543 -5.87429e-06
rec_dev(1965)    -0.440335 -5.00603e-06
rec_dev(1966)    -0.364867 -7.83061e-06
rec_dev(1967)     0.222511 -7.18331e-06
rec_dev(1968)     0.605795  1.81731e-06
rec_dev(1969)     0.568501  4.83091e-06
rec_dev(1970)      0.84865  6.02523e-06
rec_dev(1971)     0.949704  1.18239e-05
rec_dev(1972)     0.731364  1.37906e-05
rec_dev(1973)      0.35411  1.47468e-05
rec_dev(1974)     0.577696  1.46109e-05
rec_dev(1975)     0.765137  1.85011e-05
rec_dev(1976)     0.274148  8.79049e-06
rec_dev(1977)     0.400955  1.07097e-05
rec_dev(1978)   -0.0665727  8.99504e-06
rec_dev(1979)    -0.426095  7.09966e-06
rec_dev(1980)   -0.0125035   7.3837e-06
rec_dev(1981)    -0.170133  4.71386e-06
rec_dev(1982)     0.843167  7.71003e-06
rec_dev(1983)    -0.401899 -4.79135e-07
rec_dev(1984)     0.769913  6.58402e-06
rec_dev(1985)   -0.0674016 -4.06863e-06
rec_dev(1986)    -0.279056 -2.51239e-06
rec_dev(1987)   -0.0204614 -6.72369e-06
rec_dev(1988)     0.221554 -3.20551e-06
rec_dev(1989)      0.31419  4.92604e-07
rec_dev(1990)    -0.257235 -3.78147e-06
rec_dev(1991)    -0.155959 -4.59693e-06
rec_dev(1992)     0.403427  2.94476e-06
rec_dev(1993)   -0.0333586 -4.14376e-06
rec_dev(1994)    -0.119144 -2.37994e-06
