ParName   Value   Gradient
natmort_m     0.134946  6.92215e-06
q_alpha(1)    -0.197605 -5.77349e-06
q_beta[1](1)    0.0568198  4.12535e-06
q_beta[1](2)    0.0122891  1.43901e-05
q_beta[1](3)  -0.00805372 -1.49393e-05
mean_log_rec     0.945024  2.18733e-05
rec_dev(1954)    -0.505324   0.00010367
rec_dev(1955)    -0.700713  8.40287e-05
rec_dev(1956)      -0.7891  5.07936e-05
rec_dev(1957)     0.554552   0.00024005
rec_dev(1958)     0.179897  9.70703e-05
rec_dev(1959)    -0.192635 -1.37874e-05
rec_dev(1960)    -0.316124 -2.76347e-05
rec_dev(1961)    -0.881834  1.09698e-05
rec_dev(1962)    -0.229106 -4.71509e-05
rec_dev(1963)    -0.868753  -1.4621e-06
rec_dev(1964)    -0.945723  1.10392e-05
rec_dev(1965)    -0.674699  6.96933e-06
rec_dev(1966)    -0.636728  1.74605e-05
rec_dev(1967)     0.123139 -1.37628e-05
rec_dev(1968)       0.5658 -6.61554e-06
rec_dev(1969)     0.593025  -7.0863e-07
rec_dev(1970)     0.868979   6.3224e-06
rec_dev(1971)     0.969058  1.40818e-06
rec_dev(1972)     0.722963  8.42553e-06
rec_dev(1973)     0.357211  1.33572e-06
rec_dev(1974)     0.653032  2.94457e-06
rec_dev(1975)     0.802779  4.12488e-06
rec_dev(1976)     0.380779  2.52698e-06
rec_dev(1977)     0.606588  4.70973e-07
rec_dev(1978)     0.179669 -4.04945e-06
rec_dev(1979)    -0.260531 -5.03062e-06
rec_dev(1980)     0.412795 -4.43588e-06
rec_dev(1981)     0.127148 -5.37605e-06
rec_dev(1982)      1.19526  3.05489e-07
rec_dev(1983)    -0.494457  9.62998e-06
rec_dev(1984)      1.00371 -1.84367e-05
rec_dev(1985)   -0.0601632 -9.32215e-06
rec_dev(1986)    -0.323002 -1.31786e-05
rec_dev(1987)   -0.0104018  -3.3148e-06
rec_dev(1988)     0.305379 -5.90387e-06
rec_dev(1989)     0.304232 -6.38882e-06
rec_dev(1990)    -0.392516 -1.12698e-05
rec_dev(1991)    -0.276808  5.69964e-06
rec_dev(1992)     0.518113  1.53224e-05
rec_dev(1993)  -0.00792308 -3.29248e-06
rec_dev(1994)    -0.181835 -1.02031e-05
rec_dev(1995)     -0.18127 -4.62405e-06
rec_dev(1996)     0.712457  1.52042e-05
rec_dev(1997)    -0.132364 -2.86301e-06
rec_dev(1998)    -0.324137  1.77876e-06
rec_dev(1999)    -0.126772  4.23913e-06
rec_dev(2000)     0.206398  1.63598e-05
rec_dev(2001)    -0.232984  2.44498e-06
rec_dev(2002)    0.0590514 -1.08417e-05
rec_dev(2003)   0.00926152 -1.02559e-05
