ParName   Value   Gradient
natmort_m     0.134994 -1.75194e-06
q_alpha(1)    -0.196927 -3.96738e-07
q_beta[1](1)    0.0567341 -5.15136e-07
q_beta[1](2)     0.012303 -8.27047e-08
q_beta[1](3)  -0.00804777  7.47363e-07
mean_log_rec     0.946035  -5.8508e-07
rec_dev(1954)   -0.0984875  3.44207e-06
rec_dev(1955)    -0.446082   3.6938e-06
rec_dev(1956)    -0.842923  2.18709e-06
rec_dev(1957)     0.327151 -3.72691e-06
rec_dev(1958)  -0.00258535 -5.15287e-06
rec_dev(1959)    -0.272125 -3.46824e-06
rec_dev(1960)    -0.334517 -2.52045e-06
rec_dev(1961)    -0.873065 -1.73734e-06
rec_dev(1962)    -0.226027 -2.57081e-06
rec_dev(1963)    -0.893009 -5.73508e-07
rec_dev(1964)    -0.985532 -1.12275e-06
rec_dev(1965)    -0.692023  -7.6042e-07
rec_dev(1966)    -0.626511  1.41582e-07
rec_dev(1967)     0.123775  8.81938e-07
rec_dev(1968)     0.565871  1.21595e-06
rec_dev(1969)     0.592963 -1.55303e-07
rec_dev(1970)     0.868532  3.17712e-07
rec_dev(1971)     0.968358  1.45236e-06
rec_dev(1972)     0.722132 -1.88147e-07
rec_dev(1973)      0.35632 -5.94841e-08
rec_dev(1974)      0.65214  3.91065e-07
rec_dev(1975)     0.802003  4.80648e-07
rec_dev(1976)     0.380164  1.66795e-07
rec_dev(1977)     0.605937   3.4345e-07
rec_dev(1978)     0.178549 -1.91644e-07
rec_dev(1979)    -0.261628  1.62334e-07
rec_dev(1980)     0.411765  5.85505e-07
rec_dev(1981)     0.126008 -2.24766e-08
rec_dev(1982)      1.19388  2.22828e-06
rec_dev(1983)     -0.49537  6.81615e-08
rec_dev(1984)      1.00269  1.61878e-06
rec_dev(1985)   -0.0612488  1.80257e-07
rec_dev(1986)    -0.324187 -6.81058e-08
rec_dev(1987)   -0.0115357 -1.68427e-07
rec_dev(1988)     0.304396  2.85231e-07
rec_dev(1989)     0.303543  1.52278e-07
rec_dev(1990)    -0.392925 -5.78043e-07
rec_dev(1991)    -0.277403    -4.51e-07
rec_dev(1992)     0.516931 -1.02644e-06
rec_dev(1993)  -0.00943689   -1.173e-06
rec_dev(1994)    -0.183218  1.93229e-07
rec_dev(1995)    -0.182419 -3.55139e-08
rec_dev(1996)     0.711454  1.12002e-06
rec_dev(1997)     -0.13344 -2.39942e-07
rec_dev(1998)    -0.325293 -6.20506e-07
rec_dev(1999)      -0.1279 -3.22592e-07
rec_dev(2000)     0.205343 -6.24055e-07
rec_dev(2001)    -0.234079 -3.87403e-07
rec_dev(2002)    0.0578399  -3.3972e-07
rec_dev(2003)   0.00811002 -2.47799e-07
rec_dev(2004)     0.424708 -1.12489e-06
rec_dev(2005)    -0.361649  2.99437e-07
rec_dev(2006)    -0.269515 -5.80471e-07
rec_dev(2007)    -0.120248  1.33413e-08
rec_dev(2008)    -0.209851 -8.02231e-08
rec_dev(2009)   -0.0161152 -9.67319e-08
rec_dev(2010)     0.317269  4.37322e-07
rec_dev(2011)     -0.69129 -1.44698e-07
rec_dev(2012)     -1.49083 -9.28341e-07
rec_dev(2013)     -0.55614 -5.12437e-07
rec_dev(2014)     -0.43633 -8.47269e-08
rec_dev(2015)    0.0654728 -1.38503e-06
rec_dev(2016)     0.405391 -1.06869e-08
rec_dev(2017)     0.521214  3.70721e-08
rec_dev(2018)    -0.216343  2.60342e-08
rec_dev(2019)   -0.0360492 -6.28961e-09
rec_dev(2020)  -0.00243517  5.42107e-09
rec_dev(2021) -0.000150838 -5.56777e-09
mean_log_init    -0.595163  1.17774e-06
init_dev_m(2)      1.08965  1.73473e-06
init_dev_m(3)     0.307456  3.00529e-07
init_dev_m(4)    0.0706491  3.70885e-07
init_dev_m(5)    0.0183047  3.68171e-07
init_dev_m(6)   -0.0423986  2.51967e-07
init_dev_m(7)   -0.0540782  4.13169e-07
init_dev_m(8)   -0.0582845  4.99672e-07
init_dev_m(9)   -0.0632921   6.4094e-07
init_dev_m(10)   -0.0668021  6.79882e-07
init_dev_m(11)   -0.0693697  7.86372e-07
init_dev_m(12)   -0.0725757  8.64784e-07
