"","Latitude","Longitude","Weight","Month"
"1",52.3,181.1,0,12
"2",52.3,182.1,0,12
"3",52.3,183.1,0,12
"4",52.3,184.1,0,12
"5",52.3,185.1,0,12
"6",52.3,186.1,0,12
"7",52.3,187.1,0,12
"8",52.3,188.1,0,12
"9",52.3,189.1,0,12
"10",52.3,190.1,0,12
"11",52.3,191.1,0,12
"12",52.3,192.1,0,12
"13",52.3,193.1,0,12
"14",52.3,194.1,0,12
"15",52.3,195.1,0,12
"16",52.3,196.1,0,12
"17",52.3,197.1,0,12
"18",52.3,198.1,0,12
"19",52.3,199.1,0,12
"20",52.3,200.1,0,12
"21",52.3,201.1,0,12
"22",52.3,202.1,0,12
"23",52.3,203.1,0,12
"24",52.3,204.1,0,12
"25",52.3,205.1,0,12
"26",53.3,181.1,0,12
"27",53.3,182.1,0,12
"28",53.3,183.1,0,12
"29",53.3,184.1,0,12
"30",53.3,185.1,0,12
"31",53.3,186.1,0,12
"32",53.3,187.1,0,12
"33",53.3,188.1,0,12
"34",53.3,189.1,0,12
"35",53.3,190.1,0,12
"36",53.3,191.1,0,12
"37",53.3,192.1,0,12
"38",53.3,193.1,0,12
"39",53.3,194.1,0,12
"40",53.3,195.1,0,12
"41",53.3,196.1,0,12
"42",53.3,197.1,0,12
"43",53.3,198.1,0,12
"44",53.3,199.1,0,12
"45",53.3,200.1,0,12
"46",53.3,201.1,0,12
"47",53.3,202.1,0,12
"48",53.3,203.1,0,12
"49",53.3,204.1,0,12
"50",53.3,205.1,0,12
"51",54.3,181.1,0,12
"52",54.3,182.1,0,12
"53",54.3,183.1,0,12
"54",54.3,184.1,0,12
"55",54.3,185.1,0,12
"56",54.3,186.1,0,12
"57",54.3,187.1,0,12
"58",54.3,188.1,0,12
"59",54.3,189.1,0,12
"60",54.3,190.1,0,12
"61",54.3,191.1,0,12
"62",54.3,192.1,0,12
"63",54.3,193.1,0,12
"64",54.3,194.1,0,12
"65",54.3,195.1,0,12
"66",54.3,196.1,0,12
"67",54.3,197.1,0,12
"68",54.3,198.1,0,12
"69",54.3,199.1,0,12
"70",54.3,200.1,0,12
"71",54.3,201.1,0,12
"72",54.3,202.1,0,12
"73",54.3,203.1,0,12
"74",54.3,204.1,0,12
"75",54.3,205.1,0,12
"76",55.3,181.1,0,12
"77",55.3,182.1,0,12
"78",55.3,183.1,0,12
"79",55.3,184.1,0,12
"80",55.3,185.1,0,12
"81",55.3,186.1,0,12
"82",55.3,187.1,0,12
"83",55.3,188.1,0,12
"84",55.3,189.1,0,12
"85",55.3,190.1,0,12
"86",55.3,191.1,0,12
"87",55.3,192.1,0,12
"88",55.3,193.1,0,12
"89",55.3,194.1,0,12
"90",55.3,195.1,0,12
"91",55.3,196.1,0,12
"92",55.3,197.1,0,12
"93",55.3,198.1,0,12
"94",55.3,199.1,0,12
"95",55.3,200.1,0,12
"96",55.3,201.1,0,12
"97",55.3,202.1,0,12
"98",55.3,203.1,0,12
"99",55.3,204.1,0,12
"100",55.3,205.1,0,12
"101",56.3,181.1,0,12
"102",56.3,182.1,0,12
"103",56.3,183.1,0,12
"104",56.3,184.1,0,12
"105",56.3,185.1,0,12
"106",56.3,186.1,0,12
"107",56.3,187.1,0,12
"108",56.3,188.1,0,12
"109",56.3,189.1,0,12
"110",56.3,190.1,0,12
"111",56.3,191.1,0,12
"112",56.3,192.1,0,12
"113",56.3,193.1,0,12
"114",56.3,194.1,0,12
"115",56.3,195.1,0,12
"116",56.3,196.1,0,12
"117",56.3,197.1,0,12
"118",56.3,198.1,0,12
"119",56.3,199.1,0,12
"120",56.3,200.1,0,12
"121",56.3,201.1,0,12
"122",56.3,202.1,0,12
"123",56.3,203.1,0,12
"124",56.3,204.1,0,12
"125",56.3,205.1,0,12
"126",57.3,181.1,0,12
"127",57.3,182.1,0,12
"128",57.3,183.1,0,12
"129",57.3,184.1,0,12
"130",57.3,185.1,0,12
"131",57.3,186.1,0,12
"132",57.3,187.1,0,12
"133",57.3,188.1,0,12
"134",57.3,189.1,0,12
"135",57.3,190.1,0,12
"136",57.3,191.1,0,12
"137",57.3,192.1,0,12
"138",57.3,193.1,0,12
"139",57.3,194.1,0,12
"140",57.3,195.1,0,12
"141",57.3,196.1,0,12
"142",57.3,197.1,0,12
"143",57.3,198.1,0,12
"144",57.3,199.1,0,12
"145",57.3,200.1,0,12
"146",57.3,201.1,0,12
"147",57.3,202.1,0,12
"148",57.3,203.1,0,12
"149",57.3,204.1,0,12
"150",57.3,205.1,0,12
"151",58.3,181.1,0,12
"152",58.3,182.1,0,12
"153",58.3,183.1,0,12
"154",58.3,184.1,0,12
"155",58.3,185.1,0,12
"156",58.3,186.1,0,12
"157",58.3,187.1,0,12
"158",58.3,188.1,0,12
"159",58.3,189.1,0,12
"160",58.3,190.1,0,12
"161",58.3,191.1,0,12
"162",58.3,192.1,0,12
"163",58.3,193.1,0,12
"164",58.3,194.1,0,12
"165",58.3,195.1,0,12
"166",58.3,196.1,0,12
"167",58.3,197.1,0,12
"168",58.3,198.1,0,12
"169",58.3,199.1,0,12
"170",58.3,200.1,0,12
"171",58.3,201.1,0,12
"172",58.3,202.1,0,12
"173",58.3,203.1,0,12
"174",58.3,204.1,0,12
"175",58.3,205.1,0,12
"176",59.3,181.1,0,12
"177",59.3,182.1,0,12
"178",59.3,183.1,0,12
"179",59.3,184.1,0,12
"180",59.3,185.1,0,12
"181",59.3,186.1,0,12
"182",59.3,187.1,0,12
"183",59.3,188.1,0,12
"184",59.3,189.1,0,12
"185",59.3,190.1,0,12
"186",59.3,191.1,0,12
"187",59.3,192.1,0,12
"188",59.3,193.1,0,12
"189",59.3,194.1,0,12
"190",59.3,195.1,0,12
"191",59.3,196.1,0,12
"192",59.3,197.1,0,12
"193",59.3,198.1,0,12
"194",59.3,199.1,0,12
"195",59.3,200.1,0,12
"196",59.3,201.1,0,12
"197",59.3,202.1,0,12
"198",59.3,203.1,0,12
"199",59.3,204.1,0,12
"200",59.3,205.1,0,12
"201",60.3,181.1,0,12
"202",60.3,182.1,0,12
"203",60.3,183.1,0,12
"204",60.3,184.1,0,12
"205",60.3,185.1,0,12
"206",60.3,186.1,0,12
"207",60.3,187.1,0,12
"208",60.3,188.1,0,12
"209",60.3,189.1,0,12
"210",60.3,190.1,0,12
"211",60.3,191.1,0,12
"212",60.3,192.1,0,12
"213",60.3,193.1,0,12
"214",60.3,194.1,0,12
"215",60.3,195.1,0,12
"216",60.3,196.1,0,12
"217",60.3,197.1,0,12
"218",60.3,198.1,0,12
"219",60.3,199.1,0,12
"220",60.3,200.1,0,12
"221",60.3,201.1,0,12
"222",60.3,202.1,0,12
"223",60.3,203.1,0,12
"224",60.3,204.1,0,12
"225",60.3,205.1,0,12
"226",61.3,181.1,0,12
"227",61.3,182.1,0,12
"228",61.3,183.1,0,12
"229",61.3,184.1,0,12
"230",61.3,185.1,0,12
"231",61.3,186.1,0,12
"232",61.3,187.1,0,12
"233",61.3,188.1,0,12
"234",61.3,189.1,0,12
"235",61.3,190.1,0,12
"236",61.3,191.1,0,12
"237",61.3,192.1,0,12
"238",61.3,193.1,0,12
"239",61.3,194.1,0,12
"240",61.3,195.1,0,12
"241",61.3,196.1,0,12
"242",61.3,197.1,0,12
"243",61.3,198.1,0,12
"244",61.3,199.1,0,12
"245",61.3,200.1,0,12
"246",61.3,201.1,0,12
"247",61.3,202.1,0,12
"248",61.3,203.1,0,12
"249",61.3,204.1,0,12
"250",61.3,205.1,0,12
"251",62.3,181.1,0,12
"252",62.3,182.1,0,12
"253",62.3,183.1,0,12
"254",62.3,184.1,0,12
"255",62.3,185.1,0,12
"256",62.3,186.1,0,12
"257",62.3,187.1,0,12
"258",62.3,188.1,0,12
"259",62.3,189.1,0,12
"260",62.3,190.1,0,12
"261",62.3,191.1,0,12
"262",62.3,192.1,0,12
"263",62.3,193.1,0,12
"264",62.3,194.1,0,12
"265",62.3,195.1,0,12
"266",62.3,196.1,0,12
"267",62.3,197.1,0,12
"268",62.3,198.1,0,12
"269",62.3,199.1,0,12
"270",62.3,200.1,0,12
"271",62.3,201.1,0,12
"272",62.3,202.1,0,12
"273",62.3,203.1,0,12
"274",62.3,204.1,0,12
"275",62.3,205.1,0,12
"276",52.3,181.1,0,11
"277",52.3,182.1,0,11
"278",52.3,183.1,0,11
"279",52.3,184.1,0,11
"280",52.3,185.1,0,11
"281",52.3,186.1,0,11
"282",52.3,187.1,0,11
"283",52.3,188.1,0,11
"284",52.3,189.1,0,11
"285",52.3,190.1,0,11
"286",52.3,191.1,0,11
"287",52.3,192.1,0,11
"288",52.3,193.1,0,11
"289",52.3,194.1,0,11
"290",52.3,195.1,0,11
"291",52.3,196.1,0,11
"292",52.3,197.1,0,11
"293",52.3,198.1,0,11
"294",52.3,199.1,0,11
"295",52.3,200.1,0,11
"296",52.3,201.1,0,11
"297",52.3,202.1,0,11
"298",52.3,203.1,0,11
"299",52.3,204.1,0,11
"300",52.3,205.1,0,11
"301",53.3,181.1,0,11
"302",53.3,182.1,0,11
"303",53.3,183.1,0,11
"304",53.3,184.1,0,11
"305",53.3,185.1,0,11
"306",53.3,186.1,0,11
"307",53.3,187.1,0,11
"308",53.3,188.1,0,11
"309",53.3,189.1,0,11
"310",53.3,190.1,0,11
"311",53.3,191.1,0,11
"312",53.3,192.1,0,11
"313",53.3,193.1,0,11
"314",53.3,194.1,0,11
"315",53.3,195.1,0,11
"316",53.3,196.1,0,11
"317",53.3,197.1,0,11
"318",53.3,198.1,0,11
"319",53.3,199.1,0,11
"320",53.3,200.1,0,11
"321",53.3,201.1,0,11
"322",53.3,202.1,0,11
"323",53.3,203.1,0,11
"324",53.3,204.1,0,11
"325",53.3,205.1,0,11
"326",54.3,181.1,0,11
"327",54.3,182.1,0,11
"328",54.3,183.1,0,11
"329",54.3,184.1,0,11
"330",54.3,185.1,0,11
"331",54.3,186.1,0,11
"332",54.3,187.1,0,11
