ParName   Value   Gradient
natmort_m     0.125263 -9.52759e-06
q_alpha(1)  -0.00254772  2.74574e-06
q_beta[1](1)     0.059539  4.11592e-06
q_beta[1](2)    0.0110042 -3.02925e-06
q_beta[1](3)  -0.00325796 -1.12553e-06
mean_log_rec     0.946103  1.29007e-05
rec_dev(1954)     -0.17853  3.58986e-06
rec_dev(1955)    -0.384628  2.47399e-06
rec_dev(1956)    -0.544118  2.93528e-06
rec_dev(1957)       0.7321   7.9944e-06
rec_dev(1958)     0.285273  5.96386e-06
rec_dev(1959)    -0.145211   3.1291e-06
rec_dev(1960)    -0.303398  3.57174e-06
rec_dev(1961)    -0.900701  5.78387e-07
rec_dev(1962)    -0.271617  1.84337e-06
rec_dev(1963)    -0.944907  2.12778e-06
rec_dev(1964)     -1.03763  -3.7992e-08
rec_dev(1965)    -0.751179  9.81419e-07
rec_dev(1966)    -0.691493  2.18908e-06
rec_dev(1967)    0.0547699  9.58262e-07
rec_dev(1968)     0.483636  1.28089e-07
rec_dev(1969)     0.548447  2.45329e-06
rec_dev(1970)     0.804474  3.62446e-06
rec_dev(1971)     0.902247  2.67033e-06
rec_dev(1972)     0.648184    2.519e-06
rec_dev(1973)     0.280254  1.23905e-06
rec_dev(1974)     0.579021  2.13413e-06
rec_dev(1975)     0.714329  1.27058e-06
rec_dev(1976)     0.302707 -4.18067e-07
rec_dev(1977)     0.522696  1.62927e-06
rec_dev(1978)     0.140797  2.12826e-06
rec_dev(1979)    -0.304256  1.08831e-06
rec_dev(1980)     0.367794  1.53905e-06
rec_dev(1981)     0.132666   2.6938e-07
rec_dev(1982)      1.14528  1.03243e-05
rec_dev(1983)    -0.635659  1.34406e-06
rec_dev(1984)     0.895836  5.58023e-06
rec_dev(1985)    -0.216444  1.40268e-06
rec_dev(1986)     -0.48242  5.44347e-09
rec_dev(1987)   -0.0971405  -1.4242e-06
rec_dev(1988)     0.240198  1.95108e-06
rec_dev(1989)     0.298271  9.72579e-07
rec_dev(1990)    -0.440384   9.6015e-07
rec_dev(1991)    -0.320048  9.44373e-07
rec_dev(1992)      0.48996  1.86368e-06
rec_dev(1993)   -0.0406886  1.64637e-06
rec_dev(1994)    -0.222969  1.22156e-06
rec_dev(1995)    -0.266248   8.7323e-07
rec_dev(1996)     0.624228   4.0591e-06
rec_dev(1997)    -0.221565 -2.98605e-07
rec_dev(1998)    -0.371188  2.19546e-06
rec_dev(1999)     -0.15643  8.18834e-08
rec_dev(2000)     0.171019    6.969e-07
rec_dev(2001)    -0.243831 -7.02227e-08
rec_dev(2002)    0.0841594 -6.45674e-07
rec_dev(2003)    0.0784071  4.61744e-07
rec_dev(2004)     0.507918 -4.02796e-06
rec_dev(2005)    -0.365158 -8.00024e-08
rec_dev(2006)    -0.275649 -4.63485e-07
rec_dev(2007)    -0.153812 -3.15461e-07
rec_dev(2008)    -0.189528  1.57581e-07
rec_dev(2009)   -0.0287027  1.49295e-06
rec_dev(2010)     0.274729  3.79778e-07
rec_dev(2011)    -0.727559  4.28459e-07
rec_dev(2012)       -1.486 -7.16331e-07
rec_dev(2013)    -0.692243  4.44182e-07
rec_dev(2014)    -0.675401 -2.97953e-07
rec_dev(2015)   -0.0576989 -6.12614e-07
rec_dev(2016)      0.20853  1.43885e-06
rec_dev(2017)     0.994937  8.71197e-07
rec_dev(2018)     0.108021   4.7055e-07
rec_dev(2019)      1.26291  6.15741e-07
rec_dev(2020)   -0.0462486    1.028e-07
rec_dev(2021)   -0.0129426  1.10685e-08
rec_dev(2022)  -0.00017258  9.66322e-08
mean_log_init    -0.747159  3.43872e-06
init_dev_m(2)      1.12504  3.06219e-06
init_dev_m(3)     0.313251  1.27689e-06
init_dev_m(4)    0.0512934  6.87044e-07
init_dev_m(5)    0.0180611  2.40016e-07
init_dev_m(6)   -0.0442093  2.42151e-07
init_dev_m(7)   -0.0559961  3.80562e-07
init_dev_m(8)   -0.0599317  3.31329e-07
init_dev_m(9)   -0.0642434  5.83032e-07
init_dev_m(10)   -0.0676974  3.00112e-07
init_dev_m(11)   -0.0705132  5.35369e-07
init_dev_m(12)   -0.0736804  7.82697e-07
init_dev_m(13)   -0.0768705  5.07052e-07
init_dev_m(14)   -0.0788782  7.55765e-07
init_dev_m(15)   -0.0797179  5.76661e-07
init_dev_m(16)   -0.0800263  8.59147e-07
init_dev_m(17)   -0.0802184   1.1055e-06
init_dev_m(18)   -0.0803696  7.28848e-07
init_dev_m(19)    -0.080454  8.25317e-07
init_dev_m(20)   -0.0805091  1.09491e-06
init_dev_f(2)     0.531558  1.04195e-07
init_dev_f(3)     0.133646  2.47505e-07
init_dev_f(4)   0.00318913 -1.71753e-08
init_dev_f(5)   -0.0145509  1.23001e-07
init_dev_f(6)   -0.0473672      2.7e-07
init_dev_f(7)   -0.0564483  3.83202e-07
init_dev_f(8)   -0.0605687   3.7271e-07
init_dev_f(9)   -0.0649842  6.52841e-07
init_dev_f(10)   -0.0684898  3.76663e-07
init_dev_f(11)   -0.0713403  7.97478e-07
init_dev_f(12)   -0.0745444  7.08595e-07
init_dev_f(13)   -0.0777702  5.80443e-07
init_dev_f(14)   -0.0797974  7.90995e-07
init_dev_f(15)   -0.0806435  5.50336e-07
init_dev_f(16)   -0.0809533  9.96315e-07
