ParName   Value   Gradient
natmort_m     0.139104 -6.92134e-06
q_alpha(1)    -0.266447 -4.77661e-08
q_beta[1](1)    0.0574877 -3.13576e-06
q_beta[1](2)    0.0092733 -7.94236e-07
q_beta[1](3)   -0.0109163  8.60494e-06
mean_log_rec      1.01664  4.38677e-05
rec_dev(1954)     -0.29624  1.25905e-05
rec_dev(1955)    -0.508055   8.2661e-06
rec_dev(1956)    -0.683406  3.75938e-06
rec_dev(1957)     0.555136  1.30111e-05
rec_dev(1958)      0.12347  1.80812e-05
rec_dev(1959)    -0.257297   1.8563e-05
rec_dev(1960)    -0.369811  1.82034e-05
rec_dev(1961)    -0.920928  1.16513e-05
rec_dev(1962)    -0.276373  2.29514e-05
rec_dev(1963)    -0.922068  1.05225e-05
rec_dev(1964)     -1.00002  9.73853e-06
rec_dev(1965)    -0.725247  1.35716e-05
rec_dev(1966)    -0.676892  1.03185e-05
rec_dev(1967)    0.0861518  2.00971e-05
rec_dev(1968)     0.533823  2.72742e-05
rec_dev(1969)      0.57098  1.47183e-05
rec_dev(1970)     0.852048  6.57693e-06
rec_dev(1971)     0.959976  5.68418e-06
rec_dev(1972)     0.717794 -1.02509e-06
rec_dev(1973)     0.351168  1.80502e-06
rec_dev(1974)     0.639121   7.9561e-07
rec_dev(1975)     0.805156  2.58376e-06
rec_dev(1976)     0.373595  3.81799e-07
rec_dev(1977)     0.588347  4.24793e-06
rec_dev(1978)      0.17538  4.57363e-06
rec_dev(1979)    -0.277868  5.55863e-06
rec_dev(1980)     0.390778  3.45524e-06
rec_dev(1981)    0.0964476   2.2047e-06
rec_dev(1982)      1.17818  1.33678e-05
rec_dev(1983)    -0.596536  4.75691e-06
rec_dev(1984)     0.946494  6.81676e-06
rec_dev(1985)    -0.154208  3.67225e-06
rec_dev(1986)    -0.407402   2.9384e-06
rec_dev(1987)   -0.0510362  5.04683e-06
rec_dev(1988)     0.277253  4.91703e-06
rec_dev(1989)     0.322783  6.52203e-06
rec_dev(1990)    -0.449595  3.07022e-07
rec_dev(1991)    -0.314216  4.26669e-07
rec_dev(1992)      0.48352  8.77014e-06
rec_dev(1993)   -0.0681253   5.1278e-06
rec_dev(1994)    -0.224226  6.69268e-07
