ParName   Value   Gradient
natmort_m     0.139306 -3.97155e-06
q_alpha(1)    -0.243652  9.45333e-07
q_beta[1](1)    0.0651005  2.21234e-06
q_beta[1](2)    0.0109964  1.04497e-05
q_beta[1](3)  -0.00969989 -2.07122e-06
mean_log_rec     0.978188  8.24303e-06
rec_dev(1954)   -0.0939681  9.89049e-06
rec_dev(1955)    -0.462752     6.03e-06
rec_dev(1956)    -0.891683  5.37772e-06
rec_dev(1957)     0.292839  9.85091e-06
rec_dev(1958)   -0.0391829  1.00908e-06
rec_dev(1959)    -0.303014 -2.75145e-06
rec_dev(1960)      -0.3578  9.62903e-07
rec_dev(1961)    -0.902202 -9.95537e-07
rec_dev(1962)    -0.245371  -2.8147e-06
rec_dev(1963)    -0.883574 -5.95418e-07
rec_dev(1964)    -0.962595  9.13308e-07
rec_dev(1965)     -0.68924 -3.24475e-06
rec_dev(1966)    -0.643492 -4.94442e-07
rec_dev(1967)     0.119356 -7.46925e-06
rec_dev(1968)      0.56536   -1.551e-06
rec_dev(1969)     0.601138  1.14573e-06
rec_dev(1970)     0.881657 -1.41144e-06
rec_dev(1971)     0.989092  7.67903e-08
rec_dev(1972)     0.746451 -7.10822e-07
rec_dev(1973)     0.379279  -1.2709e-07
rec_dev(1974)     0.666297  1.09468e-06
rec_dev(1975)     0.830134 -1.40406e-07
rec_dev(1976)     0.397179  3.31002e-07
rec_dev(1977)     0.611471  1.18657e-06
rec_dev(1978)     0.198306  6.26915e-07
rec_dev(1979)    -0.255132  2.26501e-06
rec_dev(1980)     0.413769 -2.93389e-07
rec_dev(1981)     0.119113  2.68221e-07
rec_dev(1982)      1.20124  2.01477e-06
rec_dev(1983)     -0.57531  2.91288e-07
rec_dev(1984)     0.969242  7.10065e-07
rec_dev(1985)    -0.132355  1.73834e-06
rec_dev(1986)    -0.386165 -1.48019e-07
rec_dev(1987)   -0.0293968  2.91058e-07
rec_dev(1988)     0.298907 -1.16582e-06
rec_dev(1989)     0.344134  4.31273e-07
rec_dev(1990)    -0.429664   -1.244e-06
rec_dev(1991)     -0.29473   1.3832e-06
rec_dev(1992)     0.503323 -5.58348e-07
rec_dev(1993)   -0.0480964 -8.20212e-07
rec_dev(1994)    -0.205077  1.42617e-07
rec_dev(1995)    -0.206064  5.88872e-07
rec_dev(1996)     0.700528  1.97345e-06
rec_dev(1997)    -0.172296  8.41275e-07
rec_dev(1998)    -0.343325  1.33755e-06
rec_dev(1999)    -0.132548  1.22463e-06
rec_dev(2000)     0.213249  1.21486e-06
rec_dev(2001)    -0.204404  1.36475e-06
rec_dev(2002)    0.0813062  1.06766e-06
rec_dev(2003)    0.0456143  2.28067e-06
rec_dev(2004)     0.470873  2.03084e-06
rec_dev(2005)    -0.352986  2.68221e-06
rec_dev(2006)    -0.282841  2.68686e-06
rec_dev(2007)    -0.181897  2.71571e-06
rec_dev(2008)    -0.246104  3.28079e-06
rec_dev(2009)    -0.081783  1.42511e-06
rec_dev(2010)     0.248097   3.4449e-06
rec_dev(2011)    -0.751179 -1.01447e-08
rec_dev(2012)     -1.54818  4.45011e-07
rec_dev(2013)     -0.77753  8.74769e-07
rec_dev(2014)     -0.80901  1.07507e-06
rec_dev(2015)    -0.152388  3.67686e-06
rec_dev(2016)     0.168223  2.01955e-07
rec_dev(2017)      1.13633  1.39548e-06
rec_dev(2018)    -0.043814 -5.21163e-08
rec_dev(2019)      1.04335  1.94552e-07
rec_dev(2020)    -0.107479  1.94066e-07
rec_dev(2021)   -0.0111734 -1.01358e-07
rec_dev(2022) -4.67946e-05  2.64725e-08
mean_log_init     -0.57946  4.55821e-08
init_dev_m(2)       1.1091  4.59038e-06
init_dev_m(3)     0.327706  1.06243e-06
init_dev_m(4)    0.0819118  6.30663e-07
init_dev_m(5)    0.0172254 -1.78827e-09
init_dev_m(6)   -0.0436039 -2.77879e-07
init_dev_m(7)    -0.055512 -3.99072e-07
init_dev_m(8)   -0.0598163 -2.61197e-07
init_dev_m(9)   -0.0649311 -1.93945e-07
init_dev_m(10)   -0.0685716  5.48446e-07
init_dev_m(11)   -0.0712024  2.92578e-08
init_dev_m(12)   -0.0745111 -2.80809e-08
init_dev_m(13)   -0.0772188  8.29033e-07
init_dev_m(14)   -0.0788706 -4.45048e-07
init_dev_m(15)   -0.0795615 -2.88108e-07
init_dev_m(16)   -0.0798246 -9.48429e-08
init_dev_m(17)   -0.0799908 -8.47534e-08
init_dev_m(18)   -0.0801221  -4.6738e-07
init_dev_m(19)   -0.0801951  -3.7328e-08
init_dev_m(20)   -0.0802428 -3.28559e-07
init_dev_f(2)     0.523356 -4.38766e-07
init_dev_f(3)     0.139347 -1.80707e-07
init_dev_f(4)    0.0171557 -9.68582e-08
